,Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width
0,Acura,Integra,16.919,16.36,Passenger,21.5,1.8,140.0,101.2,67.3
1,Acura,TL,39.384,19.875,Passenger,28.4,3.2,225.0,108.1,70.3
2,Acura,CL,14.114,18.225,Passenger,,3.2,225.0,106.9,70.6
3,Acura,RL,8.588,29.725,Passenger,42.0,3.5,210.0,114.6,71.4
4,Audi,A4,20.397,22.255,Passenger,23.99,1.8,150.0,102.6,68.2
5,Audi,A6,18.78,23.555,Passenger,33.95,2.8,200.0,108.7,76.1
6,Audi,A8,1.38,39.0,Passenger,62.0,4.2,310.0,113.0,74.0
7,BMW,323i,19.747,,Passenger,26.99,2.5,170.0,107.3,68.4
8,BMW,328i,9.231,28.675,Passenger,33.4,2.8,193.0,107.3,68.5
9,BMW,528i,17.527,36.125,Passenger,38.9,2.8,193.0,111.4,70.9
10,Buick,Century,91.561,12.475,Passenger,21.975,3.1,175.0,109.0,72.7
11,Buick,Regal,39.35,13.74,Passenger,25.3,3.8,240.0,109.0,72.7
12,Buick,Park Avenue,27.851,20.19,Passenger,31.965,3.8,205.0,113.8,74.7
13,Buick,LeSabre,83.257,13.36,Passenger,27.885,3.8,205.0,112.2,73.5
14,Cadillac,DeVille,63.729,22.525,Passenger,39.895,4.6,275.0,115.3,74.5
15,Cadillac,Seville,15.943,27.1,Passenger,44.475,4.6,275.0,112.2,75.0
16,Cadillac,Eldorado,6.536,25.725,Passenger,39.665,4.6,275.0,108.0,75.5
17,Cadillac,Catera,11.185,18.225,Passenger,31.01,3.0,200.0,107.4,70.3
18,Cadillac,Escalade,14.785,,Car,46.225,5.7,255.0,117.5,77.0
19,Chevrolet,Cavalier,145.519,9.25,Passenger,13.26,2.2,115.0,104.1,67.9
20,Chevrolet,Malibu,135.126,11.225,Passenger,16.535,3.1,170.0,107.0,69.4
21,Chevrolet,Lumina,24.629,10.31,Passenger,18.89,3.1,175.0,107.5,72.5
22,Chevrolet,Monte Carlo,42.593,11.525,Passenger,19.39,3.4,180.0,110.5,72.7
23,Chevrolet,Camaro,26.402,13.025,Passenger,24.34,3.8,200.0,101.1,74.1
24,Chevrolet,Corvette,17.947,36.225,Passenger,45.705,5.7,345.0,104.5,73.6
25,Chevrolet,Prizm,32.299,9.125,Passenger,13.96,1.8,120.0,97.1,66.7
26,Chevrolet,Metro,21.855,5.16,Passenger,9.235,1.0,55.0,93.1,62.6
27,Chevrolet,Impala,107.995,,Passenger,18.89,3.4,180.0,110.5,73.0
